1
Flour,2.99,12344,12,flour.png
Cornmeal,2.99,12345,8,cornmeal.png
Oatmeal,5.99,12346,9,oatmeal.png
Canola oil,4.99,12347,5,canolaoil.png
Peanut oil,5.99,12348,3,peanutoil.png
Baby Formula,12.99,12349,6,babyformula.png
2
Motor oil 0w30,9.99,23456,10,oil-jug.png 
Motor oil 5w30,9.99,23457,11,oil-jug.png
Motor oil 10w30,9.99,23458,8,oil-jug.png
Wiper Fluid,7.99,23459,5,wiperfluid.png
3
Ribeye rib roast,12.99,34567,1,13.90,ribeye.png
Big ol steak,9.99,34568,3,1.87,steak.png
Pork Sausage - Mild,4.99,34569,4,1.00,porksausage.png
Pork Sausage - Spicy,4.99,34570,4,1.00,porksausage.png
